2025-01-24 20:04:49.123 | INFO     | __main__:process_message:89 - Processed JSON message: {'message': 'This is a buzz message.', 'author': 'Eve'}
2025-01-24 20:04:49.123 | INFO     | __main__:process_message:95 - Message received from author: Eve
2025-01-24 20:04:49.124 | INFO     | __main__:process_message:101 - Updated author counts: {'Eve': 4, 'Alice': 4, 'Charlie': 2, 'Diana': 4, 'Bob': 2}
2025-01-24 20:04:50.122 | INFO     | __main__:main:170 - Sent message to topic 'buzzline_json': {'message': 'I love Python!', 'author': 'Eve'}
2025-01-24 20:04:50.125 | INFO     | __main__:process_message:89 - Processed JSON message: {'message': 'I love Python!', 'author': 'Eve'}
2025-01-24 20:04:50.126 | INFO     | __main__:process_message:95 - Message received from author: Eve
2025-01-24 20:04:50.126 | INFO     | __main__:process_message:101 - Updated author counts: {'Eve': 5, 'Alice': 4, 'Charlie': 2, 'Diana': 4, 'Bob': 2}
2025-01-24 20:04:50.563 | WARNING  | __main__:main:173 - Producer interrupted by user.
2025-01-24 20:04:50.564 | INFO     | __main__:main:178 - Kafka producer closed.
2025-01-24 20:04:50.564 | INFO     | __main__:main:180 - END producer.
2025-01-24 20:04:51.375 | WARNING  | __main__:main:142 - Consumer interrupted by user.
2025-01-24 20:04:51.382 | INFO     | __main__:main:147 - Kafka consumer for topic 'buzzline_json' closed.
2025-01-24 20:04:51.382 | INFO     | __main__:main:149 - END consumer for topic 'buzzline_json' and group 'buzz_group'.
2025-01-28 19:15:03.099 | INFO     | utils.utils_logger:<module>:38 - Logging to file: logs\project_log.log
2025-01-28 19:15:03.101 | INFO     | __main__:<module>:68 - Project root: C:\Users\clayt\Documents\buzzline-03-seabaugh
2025-01-28 19:15:03.101 | INFO     | __main__:<module>:72 - Data folder: C:\Users\clayt\Documents\buzzline-03-seabaugh\data
2025-01-28 19:15:03.102 | INFO     | __main__:<module>:76 - Data file: C:\Users\clayt\Documents\buzzline-03-seabaugh\data\buzz.json
2025-01-28 19:15:03.102 | INFO     | __main__:main:136 - START producer.
2025-01-28 19:15:03.102 | INFO     | utils.utils_producer:get_zookeeper_address:57 - Zookeeper address: localhost:2181
2025-01-28 19:15:03.114 | INFO     | utils.utils_producer:check_zookeeper_service_is_ready:79 - Zookeeper is ready at localhost:2181.
2025-01-28 19:15:03.114 | INFO     | utils.utils_producer:get_kafka_broker_address:50 - Kafka broker address: localhost:9092
2025-01-28 19:15:03.431 | INFO     | utils.utils_producer:check_kafka_service_is_ready:98 - Kafka is ready. Brokers: {'throttle_time_ms': 0, 'brokers': [{'node_id': 1001, 'host': 'localhost', 'port': 9092, 'rack': None}], 'cluster_id': 'ISSJSQ4FSdmgTM-P2mopQw', 'controller_id': 1001}
2025-01-28 19:15:03.432 | INFO     | __main__:get_kafka_topic:50 - Kafka topic: buzzline_json
2025-01-28 19:15:03.433 | INFO     | __main__:get_message_interval:57 - Message interval: 1 seconds
2025-01-28 19:15:03.433 | INFO     | utils.utils_producer:get_kafka_broker_address:50 - Kafka broker address: localhost:9092
2025-01-28 19:15:03.433 | INFO     | utils.utils_producer:create_kafka_producer:146 - Connecting to Kafka broker at localhost:9092...
2025-01-28 19:15:03.537 | INFO     | utils.utils_producer:create_kafka_producer:151 - Kafka producer successfully created.
2025-01-28 19:15:03.537 | INFO     | utils.utils_producer:get_kafka_broker_address:50 - Kafka broker address: localhost:9092
2025-01-28 19:15:03.858 | INFO     | utils.utils_producer:create_kafka_topic:176 - Creating 'buzzline_json'.
2025-01-28 19:15:03.974 | INFO     | utils.utils_producer:create_kafka_topic:181 - Topic 'buzzline_json' created successfully.
2025-01-28 19:15:03.975 | INFO     | __main__:main:159 - Kafka topic 'buzzline_json' is ready.
2025-01-28 19:15:03.975 | INFO     | __main__:main:165 - Starting message production to topic 'buzzline_json'...
2025-01-28 19:15:03.975 | INFO     | __main__:generate_messages:95 - Opening data file in read mode: C:\Users\clayt\Documents\buzzline-03-seabaugh\data\buzz.json
2025-01-28 19:15:03.979 | INFO     | __main__:generate_messages:97 - Reading data from file: C:\Users\clayt\Documents\buzzline-03-seabaugh\data\buzz.json
2025-01-28 19:15:04.039 | INFO     | __main__:main:170 - Sent message to topic 'buzzline_json': {'message': 'Data engineering is my passion.', 'author': 'Eve'}
2025-01-28 19:15:05.041 | INFO     | __main__:main:170 - Sent message to topic 'buzzline_json': {'message': 'Distributed systems are fascinating.', 'author': 'Alice'}
2025-01-28 19:15:06.044 | INFO     | __main__:main:170 - Sent message to topic 'buzzline_json': {'message': 'Have a great day!', 'author': 'Charlie'}
2025-01-28 19:15:07.045 | INFO     | __main__:main:170 - Sent message to topic 'buzzline_json': {'message': 'Data engineering is my passion.', 'author': 'Alice'}
2025-01-28 19:15:08.048 | INFO     | __main__:main:170 - Sent message to topic 'buzzline_json': {'message': 'Distributed systems are fascinating.', 'author': 'Diana'}
2025-01-28 19:15:09.049 | INFO     | __main__:main:170 - Sent message to topic 'buzzline_json': {'message': 'Buzz messages for everyone.', 'author': 'Alice'}
2025-01-28 19:15:10.036 | INFO     | utils.utils_logger:<module>:38 - Logging to file: logs\project_log.log
2025-01-28 19:15:10.038 | INFO     | __main__:main:124 - START consumer.
2025-01-28 19:15:10.038 | INFO     | __main__:get_kafka_topic:46 - Kafka topic: buzzline_json
2025-01-28 19:15:10.038 | INFO     | __main__:get_kafka_consumer_group_id:53 - Kafka consumer group id: buzz_group
2025-01-28 19:15:10.038 | INFO     | __main__:main:129 - Consumer: Topic 'buzzline_json' and group 'buzz_group'...
2025-01-28 19:15:10.038 | INFO     | utils.utils_producer:get_kafka_broker_address:50 - Kafka broker address: localhost:9092
2025-01-28 19:15:10.038 | INFO     | utils.utils_consumer:create_kafka_consumer:44 - Creating Kafka consumer. Topic='buzzline_json' and group ID='buzz_group'.
2025-01-28 19:15:10.051 | INFO     | __main__:main:170 - Sent message to topic 'buzzline_json': {'message': 'Hello, Kafka world!', 'author': 'Diana'}
2025-01-28 19:15:10.146 | INFO     | utils.utils_consumer:create_kafka_consumer:59 - Kafka consumer created successfully.
2025-01-28 19:15:10.146 | INFO     | __main__:main:135 - Polling messages from topic 'buzzline_json'...
2025-01-28 19:15:11.052 | INFO     | __main__:main:170 - Sent message to topic 'buzzline_json': {'message': 'This is a buzz message.', 'author': 'Eve'}
2025-01-28 19:15:11.430 | INFO     | __main__:process_message:89 - Processed JSON message: {'message': 'Data engineering is my passion.', 'author': 'Eve'}
2025-01-28 19:15:11.431 | INFO     | __main__:process_message:95 - Message received from author: Eve
2025-01-28 19:15:11.431 | INFO     | __main__:process_message:101 - Updated author counts: {'Eve': 1}
2025-01-28 19:15:11.431 | INFO     | __main__:process_message:89 - Processed JSON message: {'message': 'Distributed systems are fascinating.', 'author': 'Alice'}
2025-01-28 19:15:11.431 | INFO     | __main__:process_message:95 - Message received from author: Alice
2025-01-28 19:15:11.431 | INFO     | __main__:process_message:101 - Updated author counts: {'Eve': 1, 'Alice': 1}
2025-01-28 19:15:11.431 | INFO     | __main__:process_message:89 - Processed JSON message: {'message': 'Have a great day!', 'author': 'Charlie'}
2025-01-28 19:15:11.432 | INFO     | __main__:process_message:95 - Message received from author: Charlie
2025-01-28 19:15:11.432 | INFO     | __main__:process_message:101 - Updated author counts: {'Eve': 1, 'Alice': 1, 'Charlie': 1}
2025-01-28 19:15:11.432 | INFO     | __main__:process_message:89 - Processed JSON message: {'message': 'Data engineering is my passion.', 'author': 'Alice'}
2025-01-28 19:15:11.432 | INFO     | __main__:process_message:95 - Message received from author: Alice
2025-01-28 19:15:11.432 | INFO     | __main__:process_message:101 - Updated author counts: {'Eve': 1, 'Alice': 2, 'Charlie': 1}
2025-01-28 19:15:11.433 | INFO     | __main__:process_message:89 - Processed JSON message: {'message': 'Distributed systems are fascinating.', 'author': 'Diana'}
2025-01-28 19:15:11.433 | INFO     | __main__:process_message:95 - Message received from author: Diana
2025-01-28 19:15:11.433 | INFO     | __main__:process_message:101 - Updated author counts: {'Eve': 1, 'Alice': 2, 'Charlie': 1, 'Diana': 1}
2025-01-28 19:15:11.433 | INFO     | __main__:process_message:89 - Processed JSON message: {'message': 'Buzz messages for everyone.', 'author': 'Alice'}
2025-01-28 19:15:11.433 | INFO     | __main__:process_message:95 - Message received from author: Alice
2025-01-28 19:15:11.434 | INFO     | __main__:process_message:101 - Updated author counts: {'Eve': 1, 'Alice': 3, 'Charlie': 1, 'Diana': 1}
2025-01-28 19:15:11.434 | INFO     | __main__:process_message:89 - Processed JSON message: {'message': 'Hello, Kafka world!', 'author': 'Diana'}
2025-01-28 19:15:11.434 | INFO     | __main__:process_message:95 - Message received from author: Diana
2025-01-28 19:15:11.434 | INFO     | __main__:process_message:101 - Updated author counts: {'Eve': 1, 'Alice': 3, 'Charlie': 1, 'Diana': 2}
2025-01-28 19:15:11.434 | INFO     | __main__:process_message:89 - Processed JSON message: {'message': 'This is a buzz message.', 'author': 'Eve'}
2025-01-28 19:15:11.435 | INFO     | __main__:process_message:95 - Message received from author: Eve
